2025-04-23 16:17:58.721 | WARNING  | __main__:scrape_and_ocr:372 - Empty OCR for Chicago_Tribune_1956_09_13_Page_97.pdf
2025-04-23 16:18:06.541 | INFO     | __main__:download_current_page_pdf:222 - Downloaded Chicago_Tribune_1956_09_13_Page_97.pdf (sidebar flow)
2025-04-23 16:18:06.567 | ERROR    | __main__:extract_paragraph_from_pdf:123 - pdf2image failed on /Volumes/Save/@master/src/data/raw_pdf/Chicago_Tribune_1956_09_13_Page_97.pdf: Unable to get page count. Is poppler installed and in PATH?
2025-04-23 16:18:06.568 | WARNING  | __main__:scrape_and_ocr:372 - Empty OCR for Chicago_Tribune_1956_09_13_Page_97.pdf
2025-04-23 16:18:11.303 | INFO     | __main__:download_current_page_pdf:222 - Downloaded Chicago_Tribune_1956_09_13_Page_97.pdf (sidebar flow)
2025-04-23 16:18:11.307 | ERROR    | __main__:extract_paragraph_from_pdf:123 - pdf2image failed on /Volumes/Save/@master/src/data/raw_pdf/Chicago_Tribune_1956_09_13_Page_97.pdf: Unable to get page count. Is poppler installed and in PATH?
2025-04-23 16:18:11.307 | WARNING  | __main__:scrape_and_ocr:372 - Empty OCR for Chicago_Tribune_1956_09_13_Page_97.pdf
2025-04-23 16:18:15.650 | INFO     | __main__:download_current_page_pdf:222 - Downloaded Chicago_Tribune_1956_09_13_Page_97.pdf (sidebar flow)
2025-04-23 16:18:15.653 | ERROR    | __main__:extract_paragraph_from_pdf:123 - pdf2image failed on /Volumes/Save/@master/src/data/raw_pdf/Chicago_Tribune_1956_09_13_Page_97.pdf: Unable to get page count. Is poppler installed and in PATH?
2025-04-23 16:18:15.653 | WARNING  | __main__:scrape_and_ocr:372 - Empty OCR for Chicago_Tribune_1956_09_13_Page_97.pdf
2025-04-23 16:18:21.891 | INFO     | __main__:download_current_page_pdf:222 - Downloaded Chicago_Tribune_1956_09_13_Page_97.pdf (sidebar flow)
2025-04-23 16:18:21.907 | ERROR    | __main__:extract_paragraph_from_pdf:123 - pdf2image failed on /Volumes/Save/@master/src/data/raw_pdf/Chicago_Tribune_1956_09_13_Page_97.pdf: Unable to get page count. Is poppler installed and in PATH?
2025-04-23 16:18:21.907 | WARNING  | __main__:scrape_and_ocr:372 - Empty OCR for Chicago_Tribune_1956_09_13_Page_97.pdf
2025-04-23 16:18:26.216 | INFO     | __main__:download_current_page_pdf:222 - Downloaded Chicago_Tribune_1956_09_13_Page_97.pdf (sidebar flow)
2025-04-23 16:18:26.219 | ERROR    | __main__:extract_paragraph_from_pdf:123 - pdf2image failed on /Volumes/Save/@master/src/data/raw_pdf/Chicago_Tribune_1956_09_13_Page_97.pdf: Unable to get page count. Is poppler installed and in PATH?
2025-04-23 16:18:26.219 | WARNING  | __main__:scrape_and_ocr:372 - Empty OCR for Chicago_Tribune_1956_09_13_Page_97.pdf
2025-04-23 16:18:33.638 | INFO     | __main__:download_current_page_pdf:222 - Downloaded Chicago_Tribune_1956_09_13_Page_97.pdf (sidebar flow)
2025-04-23 16:18:33.656 | ERROR    | __main__:extract_paragraph_from_pdf:123 - pdf2image failed on /Volumes/Save/@master/src/data/raw_pdf/Chicago_Tribune_1956_09_13_Page_97.pdf: Unable to get page count. Is poppler installed and in PATH?
2025-04-23 16:18:33.656 | WARNING  | __main__:scrape_and_ocr:372 - Empty OCR for Chicago_Tribune_1956_09_13_Page_97.pdf
2025-04-23 16:18:38.491 | INFO     | __main__:download_current_page_pdf:222 - Downloaded Chicago_Tribune_1956_09_13_Page_97.pdf (sidebar flow)
2025-04-23 16:18:38.508 | ERROR    | __main__:extract_paragraph_from_pdf:123 - pdf2image failed on /Volumes/Save/@master/src/data/raw_pdf/Chicago_Tribune_1956_09_13_Page_97.pdf: Unable to get page count. Is poppler installed and in PATH?
2025-04-23 16:18:38.508 | WARNING  | __main__:scrape_and_ocr:372 - Empty OCR for Chicago_Tribune_1956_09_13_Page_97.pdf
2025-04-23 16:18:46.725 | INFO     | __main__:download_current_page_pdf:222 - Downloaded Chicago_Tribune_1956_09_13_Page_97.pdf (sidebar flow)
2025-04-23 16:18:46.746 | ERROR    | __main__:extract_paragraph_from_pdf:123 - pdf2image failed on /Volumes/Save/@master/src/data/raw_pdf/Chicago_Tribune_1956_09_13_Page_97.pdf: Unable to get page count. Is poppler installed and in PATH?
2025-04-23 16:18:46.746 | WARNING  | __main__:scrape_and_ocr:372 - Empty OCR for Chicago_Tribune_1956_09_13_Page_97.pdf
2025-04-23 16:18:56.428 | INFO     | __main__:download_current_page_pdf:222 - Downloaded Chicago_Tribune_1956_09_13_Page_97.pdf (sidebar flow)
